0,1,key1,key2,key3,key4,cos1,cos2,cos3,cos4,diff1,diff2,diff3,diff4,shots,locations,cat1,cat2,cat3,cat4
216582038,"{216581957: 0.5075774192810059, 216578222: 0.47109735012054443, 216581945: 0.4681870639324188, 1586673371: 0.4611031711101532, 1840648532: 0.44693130254745483, 1586673356: 0.44222164154052734, 1840648535: 0.4375264346599579, 216578084: 0.43334466218948364}",216581957,216578222,216581945,1586673371,[cosHint lv4],[cosHint lv4],[cosHint lv4],[cosHint lv4],[diffHint lv3],[diffHint lv2],[diffHint lv3],[diffHint lv1],"['View of', 'View of', 'View of']",['Jarnac and the Charente river West Central France'],[outdoors],[outdoors],[outdoors],[outdoors]
1590061574,"{1590061697: 0.4025574028491974, 1590061787: 0.38378599286079407, 1576745306: 0.31921204924583435, 1588012475: 0.299605131149292, 1578942776: 0.29817694425582886, 1590215360: 0.2881045341491699, 1864651058: 0.2878492474555969, 1586671511: 0.28305408358573914}",1590061697,1590061787,1576745306,1588012475,[cosHint lv4],[cosHint lv3],[cosHint lv2],[cosHint lv2],[diffHint lv2],[diffHint lv2],[diffHint lv1],[diffHint lv1],[],[],[misc],[misc],[outdoors],[misc]
1868714447,"{1587990881: 0.3821038007736206, 1868714480: 0.3744554817676544, 1872077435: 0.36655813455581665, 1868714486: 0.35541000962257385, 1587991697: 0.3533475399017334, 1868714408: 0.34761106967926025, 1587989924: 0.3459925055503845, 1868714531: 0.34126120805740356}",1587990881,1868714480,1872077435,1868714486,[cosHint lv3],[cosHint lv3],[cosHint lv3],[cosHint lv3],[diffHint lv1],[diffHint lv3],[diffHint lv1],[diffHint lv3],"['A portrait of', 'A horizontal view of', 'A frontal Close up portrait of']",[],[indoors],[office],[office],[office]
1813180760,"{1811160932: 0.3904225826263428, 1859201003: 0.38713088631629944, 1572527741: 0.3753722310066223, 216779531: 0.3659026324748993, 1859201000: 0.3578222990036011, 216362525: 0.3572613298892975, 1873346102: 0.3478635549545288, 1572527765: 0.34724873304367065}",1811160932,1859201003,1572527741,216779531,[cosHint lv3],[cosHint lv3],[cosHint lv3],[cosHint lv3],[diffHint lv1],[diffHint lv1],[diffHint lv1],[diffHint lv1],"['Close up shot of', 'A portrait of']",[],[misc],[outdoors],[outdoors],[outdoors]
1578946151,"{1578947159: 0.36091023683547974, 1817411052: 0.33212941884994507, 1571580875: 0.3171245753765106, 1578942776: 0.3090337812900543, 1869314585: 0.3056943416595459, 1878782285: 0.29622867703437805, 1670342030: 0.2899445593357086, 1590061787: 0.28648868203163147}",1578947159,1817411052,1571580875,1578942776,[cosHint lv3],[cosHint lv3],[cosHint lv2],[cosHint lv2],[diffHint lv2],[diffHint lv1],[diffHint lv1],[diffHint lv2],['Portrait of'],[],[outdoors],[outdoors],[outdoors],[outdoors]
1878688574,"{1878688562: 0.4740062952041626, 1876239929: 0.46635255217552185, 1878688547: 0.42198288440704346, 1878688532: 0.39908501505851746, 1878688538: 0.39841315150260925, 1860727001: 0.3876994848251343, 1878688535: 0.3586691617965698, 1816749447: 0.356523722410202}",1878688562,1876239929,1878688547,1878688532,[cosHint lv4],[cosHint lv4],[cosHint lv4],[cosHint lv3],[diffHint lv3],[diffHint lv1],[diffHint lv3],[diffHint lv3],"['Close up Of', 'Close up of', 'Close up of']",[],[misc],[misc],[misc],[misc]
1576771976,"{1572535172: 0.30646300315856934, 1572486317: 0.29737791419029236, 1572508340: 0.29666319489479065, 1864643828: 0.2883754074573517, 1297750208: 0.28593555092811584, 1868705261: 0.28310179710388184, 1590025187: 0.2818107008934021, 1864656440: 0.2811505198478699}",1572535172,1572486317,1572508340,1864643828,[cosHint lv2],[cosHint lv2],[cosHint lv2],[cosHint lv1],[diffHint lv1],[diffHint lv1],[diffHint lv1],[diffHint lv1],"['Profile of', 'Portrait ']",[],[office],[office],[office],[electronics]
1571337356,"{1590200648: 0.44348016381263733, 1571333363: 0.4303526282310486, 1572387446: 0.4067874252796173, 1571337404: 0.39115872979164124, 1571691083: 0.3831785321235657, 1571333384: 0.3782636821269989, 1572528581: 0.3774379789829254, 1572381332: 0.371218204498291}",1590200648,1571333363,1572387446,1571337404,[cosHint lv4],[cosHint lv4],[cosHint lv4],[cosHint lv3],[diffHint lv1],[diffHint lv2],[diffHint lv1],[diffHint lv3],['View to'],"['Traenfjorden Helgeland Nordland Norway', 'The Seven Sisters Alsten Island Helgeland Nordland Norway', 'Henningsvaer Lofoten Nordland Norway', 'Bostad Vestvagoy Lofoten Nordland Norway', 'Henningsvaer Lofoten Nordland Norway', 'Svolvaer Lofoten Nordland Norway']",[outdoors],[outdoors],[outdoors],[outdoors]
1661486624,"{1572527696: 0.2627299726009369, 216385226: 0.26133012771606445, 1590160415: 0.2525905668735504, 1587148982: 0.24949641525745392, 1586663702: 0.24914099276065826, 1680424568: 0.24352513253688812, 1586675249: 0.2418154776096344, 216348866: 0.24138079583644867}",1572527696,216385226,1590160415,1587148982,[cosHint lv1],[cosHint lv1],[cosHint lv1],[cosHint lv1],[diffHint lv1],[diffHint lv1],[diffHint lv1],[diffHint lv1],['portrait'],[],[outdoors],[outdoors],[misc],[misc]
1590076853,"{1297741637: 0.6195431351661682, 1590024188: 0.43929845094680786, 1590065450: 0.43201085925102234, 1571663726: 0.4240672290325165, 1588024850: 0.4064689874649048, 1590070328: 0.4051918089389801, 1590067799: 0.4042549431324005, 1571663798: 0.4036642909049988}",1297741637,1590024188,1590065450,1571663726,[cosHint lv4],[cosHint lv4],[cosHint lv4],[cosHint lv4],[diffHint lv1],[diffHint lv1],[diffHint lv1],[diffHint lv1],['Portrait of'],[],[stocky_setting],[indoors],[indoors],[indoors]
