public_id,caption
1587040490,Teenage girls in swimwear sitting on a wooden jetty by the lake and having fun with a guitar
1859182859,Vertical shot of a male and female rock climber standing on top of a rock
1766908167,Couple on winter vacation sitting on sled on mountain top smiling at camera
1587024551,View of a woman standing on a beach
216584981,Rooftops of idyllic village Bourdeilles Dordogne France
1664820557,High school student assembling a robotic structure in a science class with a classmate watching them
1572496652,A woman holding a flower
1855878080,Family with two children smiling for a picture while standing in the dunes by the beach
1571330876,Senior man sitting on a fence and kissing his wife
1817411046,Medium shot of a happy couple holding hands and walking along the shore of a sunny beach
1860742109,Vertical shot of a businesswoman with luggage on a road in the desert
1304266868,Low angle vertical shot of a baseball player with a glove on his hand and a catcher squatting in the background
1578930506,A businesswoman reading a document at the table with a laptop in an office
1587040484,Two women holding shopping bags Stuttgart Baden Wurttemberg Germany
1590225611,Portrait of two happy young women posing for the camera on a sunny day in a car dealership showroom
1570541435,tml waivers on the background of palm trees and clouds
1869911456,A medium shot of a happy businessman and businesswoman talking at a desk in office
1578225296,A mid adult woman holding a fall leaf
1572524222,Father and boys running on beach
1297725821,Two young women taking a photo of themselves with a mobile phone
1590209138,View to Senningsvaer Lofoten Nordland Norway
1873346060,Portrait of a smiling schoolgirl in a private school uniform studying at a computer in a computer lab
1587048470,Two businessmen and businesswomen talking at a table having a break
1590031949,Woman in underwear in bathroom applying moisturizing cream to legs
1585874792,Snow covered town with mountains in background Davos Grisons Switzerland
1587997655,High angle view of wine bottle and wine cheese on table outdoors
1869316949,Vertical shot of a manager and a technician standing in the aisle of a server room and looking at the camera
1570573574,Riverside near Alter do Chao Rio Tapajos Amazon River Brazil
1590363935,Woman trying on sun tops in the changing room of a shop
1586682425,Senior sailor holding fresh potato medallion
1878869573,A portrait shot of a happy teacher holding a model wind turbine while her curious students examines it in a classroom
1670374865,Couple moving into their new home carrying a packing box
1587145895,Low angle view of a colorful hot air balloon against blue sky Balloon Festival Albuquerque New Mexico USA
1587996038,Young man having beauty treatment in spa
1586664113,A key ring with a bride and groom smiling at each other
1878690416,High school student reading sheet music and playing a flute in a music class
1873425434,A portrait shot of a young businesswoman smiling at camera with co workers in the background
1572478451,A woman in a bikini
1862081534,Vertical shot of a worker operating machines through computer in a aluminum light fittings factory
1297788773,Family of four with two children smiling for a picture while sledding on snow with the boy holding a snowball in his hands
1587990182,A student disappointed by his exam results
1864613999,Vertical shot of a girl asleep on her mother's shoulder and smiling at camera
1570230836,View to Sertigtal Davos Grisons Switzerland
1868723438,A wide shot of a happy family sitting on a fence and looking at sunflowers in a wildflower field with bicycles kept on a side
1664815184,View of a hand pushing a button on an elevator
1873415648,Horizontal shot of a senior man applying glue to a model sailboat indoors
1650267041,Senior man grabbing a box at the production line of a distribution warehouse
1868714471,A horizontal portrait of a scientist in a clean suit carrying a container in the silicon wafer manufacturing laboratory
1581275183,Senior couple riding touring motorbike outdoors smiling at camera
1860742073,Portrait of high school students playing basketball during a gym class
1725713084,Father and son playing in sandpit with toy cars
1862086769,Horizontal shot of summer bright blue sky with fluffy clouds
216359249,Horizontal low angle view of a group of people holding black umbrellas with one pink umbrella in between
1572486428,Portrait of a businessman looking at a computer in the office lobby with other people working in the foreground out of focus
1859328332,A low angle shot of happy senior man pulling his wife's hand in an autumn park with a big tree in background
1590224750,Close up of feta cheese and parsley in bowl
1590160781,View to Sertigtal Davos Grisons Switzerland
1587133100,Businessurred view of a businessman waiting for a passenger jet at a hangar
